------------------LVL 1-----------------
1. One-handed sword, AGI: 1, STR: 1, DMG: 20, SPD: 40, HANDLING: 1.0
7. Rapier, AGI: 61, STR: 49, DMG: 1377, SPD: 108, HANDLING: 1.134090872101387
8. One-handed sword, AGI: 43, STR: 67, DMG: 1292, SPD: 84, HANDLING: 1.0483718512033509
9. Dagger, AGI: 60, STR: 50, DMG: 1222, SPD: 117, HANDLING: 1.3046560763202453
10. Mace, AGI: 23, STR: 87, DMG: 1222, SPD: 60, HANDLING: 0.9280396123718826
11. Katana, AGI: 17, STR: 93, DMG: 1078, SPD: 60, HANDLING: 1.2610266437777973
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 1522
------------------LVL 38-----------------
1. CUSTOM (ex: dual wielding), AGI: 47, STR: 66, DMG: 2340, SPD: 72, HANDLING: 0.7041239533694862
2. Two-handed battle axe, AGI: 1, STR: 112, DMG: 2185, SPD: 39, HANDLING: 0.7954577671333519
3. Two-handed sword, AGI: 16, STR: 97, DMG: 2050, SPD: 52, HANDLING: 0.8422494268944287
4. Spear, AGI: 51, STR: 62, DMG: 2001, SPD: 84, HANDLING: 0.8851227475807475
5. Katana, AGI: 62, STR: 51, DMG: 1659, SPD: 90, HANDLING: 0.8232206556686054
6. One-handed axe, AGI: 38, STR: 75, DMG: 1548, SPD: 78, HANDLING: 1.0437472134045949
7. One-handed curved sword, AGI: 54, STR: 59, DMG: 1472, SPD: 95, HANDLING: 1.0435104906900614
8. Rapier, AGI: 58, STR: 55, DMG: 1413, SPD: 108, HANDLING: 1.1919416629368549
9. One-handed sword, AGI: 43, STR: 70, DMG: 1326, SPD: 84, HANDLING: 1.060968328013171
10. Dagger, AGI: 58, STR: 55, DMG: 1254, SPD: 117, HANDLING: 1.3526136410984626
11. Mace, AGI: 23, STR: 90, DMG: 1254, SPD: 60, HANDLING: 0.9375781414570238
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 1682
------------------LVL 39-----------------
1. CUSTOM (ex: dual wielding), AGI: 46, STR: 70, DMG: 2400, SPD: 72, HANDLING: 0.7225951592347036
2. Two-handed battle axe, AGI: 1, STR: 115, DMG: 2240, SPD: 39, HANDLING: 0.8011420903304225
3. Two-handed sword, AGI: 16, STR: 100, DMG: 2100, SPD: 52, HANDLING: 0.8501115149266916
4. Spear, AGI: 50, STR: 66, DMG: 2049, SPD: 84, HANDLING: 0.9086356428277202
5. Katana, AGI: 59, STR: 57, DMG: 1701, SPD: 90, HANDLING: 0.868111034446924
6. One-handed axe, AGI: 37, STR: 79, DMG: 1587, SPD: 78, HANDLING: 1.065209588549505
7. One-handed curved sword, AGI: 52, STR: 64, DMG: 1510, SPD: 95, HANDLING: 1.08002448960635
8. Rapier, AGI: 56, STR: 60, DMG: 1449, SPD: 108, HANDLING: 1.2339477698088024
9. One-handed sword, AGI: 42, STR: 74, DMG: 1360, SPD: 84, HANDLING: 1.083345673958602
10. Dagger, AGI: 56, STR: 60, DMG: 1287, SPD: 117, HANDLING: 1.3984307924862849
11. Mace, AGI: 23, STR: 93, DMG: 1286, SPD: 60, HANDLING: 0.9468428065940989
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 1724
------------------LVL 40-----------------
1. CUSTOM (ex: dual wielding), AGI: 45, STR: 74, DMG: 2460, SPD: 72, HANDLING: 0.7405558975465654
2. Two-handed battle axe, AGI: 1, STR: 118, DMG: 2295, SPD: 39, HANDLING: 0.806675999222871
3. Two-handed sword, AGI: 16, STR: 103, DMG: 2150, SPD: 52, HANDLING: 0.8577625501447648
4. Spear, AGI: 48, STR: 71, DMG: 2097, SPD: 84, HANDLING: 0.9405699894802222
5. Katana, AGI: 56, STR: 63, DMG: 1743, SPD: 90, HANDLING: 0.9115387131464415
6. One-handed sword, AGI: 71, STR: 48, DMG: 1640, SPD: 96, HANDLING: 0.803604264282184
7. One-handed axe, AGI: 36, STR: 83, DMG: 1626, SPD: 78, HANDLING: 1.085987076889601
8. One-handed curved sword, AGI: 51, STR: 68, DMG: 1548, SPD: 95, HANDLING: 1.104141441082556
9. Rapier, AGI: 55, STR: 64, DMG: 1485, SPD: 108, HANDLING: 1.2610878518386708
10. Dagger, AGI: 55, STR: 64, DMG: 1320, SPD: 117, HANDLING: 1.427379164087542
11. Mace, AGI: 22, STR: 97, DMG: 1318, SPD: 60, HANDLING: 0.9633127762639209
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 1789
------------------LVL 41-----------------
1. CUSTOM (ex: dual wielding), AGI: 44, STR: 78, DMG: 2520, SPD: 72, HANDLING: 0.7580270407021749
2. Two-handed battle axe, AGI: 1, STR: 121, DMG: 2350, SPD: 39, HANDLING: 0.8120653860783814
3. Two-handed sword, AGI: 15, STR: 107, DMG: 2200, SPD: 52, HANDLING: 0.8714805626989701
4. Spear, AGI: 47, STR: 75, DMG: 2145, SPD: 84, HANDLING: 0.9625581222898051
5. Katana, AGI: 55, STR: 67, DMG: 1785, SPD: 90, HANDLING: 0.9346913820745825
6. One-handed sword, AGI: 65, STR: 57, DMG: 1680, SPD: 96, HANDLING: 0.8789434533311673
7. One-handed axe, AGI: 36, STR: 86, DMG: 1665, SPD: 78, HANDLING: 1.0968168883707259
8. One-handed curved sword, AGI: 50, STR: 72, DMG: 1585, SPD: 95, HANDLING: 1.1273793352821186
9. Rapier, AGI: 54, STR: 68, DMG: 1521, SPD: 108, HANDLING: 1.287132926466103
10. Dagger, AGI: 54, STR: 68, DMG: 1352, SPD: 117, HANDLING: 1.4550907296445128
11. Mace, AGI: 22, STR: 100, DMG: 1350, SPD: 60, HANDLING: 0.9719597376363208
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 1832
------------------LVL 42-----------------
1. CUSTOM (ex: dual wielding), AGI: 43, STR: 82, DMG: 2580, SPD: 72, HANDLING: 0.7750283384703781
2. Two-handed battle axe, AGI: 1, STR: 124, DMG: 2405, SPD: 39, HANDLING: 0.8173158393698755
3. Two-handed sword, AGI: 15, STR: 110, DMG: 2250, SPD: 52, HANDLING: 0.8786522589060827
4. Spear, AGI: 46, STR: 79, DMG: 2193, SPD: 84, HANDLING: 0.9839014976017713
5. Katana, AGI: 53, STR: 72, DMG: 1827, SPD: 90, HANDLING: 0.9664058178448544
6. One-handed sword, AGI: 62, STR: 63, DMG: 1720, SPD: 96, HANDLING: 0.9226491324591463
7. One-handed axe, AGI: 35, STR: 90, DMG: 1704, SPD: 78, HANDLING: 1.1164631335372925
8. One-handed curved sword, AGI: 49, STR: 76, DMG: 1622, SPD: 95, HANDLING: 1.1497853741060442
9. Rapier, AGI: 53, STR: 72, DMG: 1557, SPD: 108, HANDLING: 1.3121479528332414
10. Dagger, AGI: 72, STR: 53, DMG: 1491, SPD: 126, HANDLING: 1.2109582982265117
11. Mace, AGI: 22, STR: 103, DMG: 1382, SPD: 60, HANDLING: 0.9803686837686421
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 1885
------------------LVL 43-----------------
1. CUSTOM (ex: dual wielding), AGI: 42, STR: 86, DMG: 2640, SPD: 72, HANDLING: 0.791578492466481
2. Two-handed battle axe, AGI: 1, STR: 127, DMG: 2460, SPD: 39, HANDLING: 0.8224326631052525
3. Two-handed sword, AGI: 15, STR: 113, DMG: 2300, SPD: 52, HANDLING: 0.8856388874707418
4. Spear, AGI: 45, STR: 83, DMG: 2241, SPD: 84, HANDLING: 1.0046280649476438
5. Katana, AGI: 52, STR: 76, DMG: 1869, SPD: 90, HANDLING: 0.9879870018557364
6. One-handed sword, AGI: 60, STR: 68, DMG: 1760, SPD: 96, HANDLING: 0.9553759845241063
7. One-handed axe, AGI: 35, STR: 93, DMG: 1743, SPD: 78, HANDLING: 1.1264990920428941
8. One-handed curved sword, AGI: 48, STR: 80, DMG: 1660, SPD: 95, HANDLING: 1.1714034394713395
9. Rapier, AGI: 52, STR: 76, DMG: 1593, SPD: 108, HANDLING: 1.33619285161818
10. Dagger, AGI: 68, STR: 60, DMG: 1526, SPD: 126, HANDLING: 1.2838323178989675
11. Mace, AGI: 22, STR: 106, DMG: 1414, SPD: 60, HANDLING: 0.9885493086127839
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 1928
------------------LVL 44-----------------
1. CUSTOM (ex: dual wielding), AGI: 41, STR: 90, DMG: 2700, SPD: 72, HANDLING: 0.807695224775853
2. Two-handed battle axe, AGI: 1, STR: 130, DMG: 2515, SPD: 39, HANDLING: 0.827420894699789
3. Two-handed sword, AGI: 15, STR: 116, DMG: 2350, SPD: 52, HANDLING: 0.8924475207252146
4. Spear, AGI: 44, STR: 87, DMG: 2289, SPD: 84, HANDLING: 1.0247641814268915
5. Katana, AGI: 51, STR: 80, DMG: 1911, SPD: 90, HANDLING: 1.0089080104965669
6. One-handed sword, AGI: 58, STR: 73, DMG: 1800, SPD: 96, HANDLING: 0.9870528626899561
7. One-handed axe, AGI: 35, STR: 96, DMG: 1782, SPD: 78, HANDLING: 1.136234005928121
8. One-handed curved sword, AGI: 47, STR: 84, DMG: 1698, SPD: 95, HANDLING: 1.192274380159296
9. Rapier, AGI: 51, STR: 80, DMG: 1629, SPD: 108, HANDLING: 1.359322984244344
10. Dagger, AGI: 65, STR: 66, DMG: 1561, SPD: 126, HANDLING: 1.3401057967098962
11. Mace, AGI: 21, STR: 110, DMG: 1446, SPD: 60, HANDLING: 1.0035782391359698
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 1971
------------------LVL 45-----------------
1. CUSTOM (ex: dual wielding), AGI: 41, STR: 93, DMG: 2760, SPD: 72, HANDLING: 0.8168604575950299
2. Two-handed battle axe, AGI: 1, STR: 133, DMG: 2570, SPD: 39, HANDLING: 0.8322853215177919
3. Two-handed sword, AGI: 15, STR: 119, DMG: 2400, SPD: 52, HANDLING: 0.8990848751768741
4. Spear, AGI: 44, STR: 90, DMG: 2337, SPD: 84, HANDLING: 1.0358441973182297
5. Katana, AGI: 50, STR: 84, DMG: 1953, SPD: 90, HANDLING: 1.029198679884934
6. Rapier, AGI: 74, STR: 60, DMG: 1850, SPD: 120, HANDLING: 1.0957434587449748
7. One-handed sword, AGI: 57, STR: 77, DMG: 1840, SPD: 96, HANDLING: 1.0084774122248372
8. One-handed axe, AGI: 34, STR: 100, DMG: 1821, SPD: 78, HANDLING: 1.1544268786797856
9. One-handed curved sword, AGI: 47, STR: 87, DMG: 1735, SPD: 95, HANDLING: 1.2023326338497906
10. Dagger, AGI: 64, STR: 70, DMG: 1596, SPD: 126, HANDLING: 1.3673534339051203
11. Mace, AGI: 21, STR: 113, DMG: 1478, SPD: 60, HANDLING: 1.0112358480339365
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 2031
------------------LVL 46-----------------
1. CUSTOM (ex: dual wielding), AGI: 40, STR: 97, DMG: 2820, SPD: 72, HANDLING: 0.8322432916064325
2. Two-handed battle axe, AGI: 1, STR: 136, DMG: 2625, SPD: 39, HANDLING: 0.8370304961976897
3. Two-handed sword, AGI: 15, STR: 122, DMG: 2450, SPD: 52, HANDLING: 0.9055573336081595
4. Spear, AGI: 43, STR: 94, DMG: 2385, SPD: 84, HANDLING: 1.0549902511432785
5. Katana, AGI: 49, STR: 88, DMG: 1995, SPD: 90, HANDLING: 1.0488870749274466
6. Rapier, AGI: 70, STR: 67, DMG: 1890, SPD: 120, HANDLING: 1.157508088172464
7. One-handed sword, AGI: 55, STR: 82, DMG: 1880, SPD: 96, HANDLING: 1.0383442490359986
8. One-handed axe, AGI: 34, STR: 103, DMG: 1860, SPD: 78, HANDLING: 1.1634716120232234
9. One-handed curved sword, AGI: 46, STR: 91, DMG: 1772, SPD: 95, HANDLING: 1.2219897607064911
10. Dagger, AGI: 62, STR: 75, DMG: 1631, SPD: 126, HANDLING: 1.4066959634829181
11. Mace, AGI: 21, STR: 116, DMG: 1510, SPD: 60, HANDLING: 1.0186936729520712
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 2074
------------------LVL 47-----------------
1. CUSTOM (ex: dual wielding), AGI: 39, STR: 101, DMG: 2880, SPD: 72, HANDLING: 0.8472385010364789
2. Two-handed battle axe, AGI: 1, STR: 139, DMG: 2680, SPD: 39, HANDLING: 0.8416607508636803
3. Two-handed sword, AGI: 15, STR: 125, DMG: 2500, SPD: 52, HANDLING: 0.9118709655496164
4. Spear, AGI: 42, STR: 98, DMG: 2433, SPD: 84, HANDLING: 1.073613230906295
5. Katana, AGI: 48, STR: 92, DMG: 2037, SPD: 90, HANDLING: 1.0679996188317966
6. Rapier, AGI: 68, STR: 72, DMG: 1930, SPD: 120, HANDLING: 1.1940865889145442
7. One-handed sword, AGI: 54, STR: 86, DMG: 1920, SPD: 96, HANDLING: 1.0583279847458926
8. One-handed axe, AGI: 34, STR: 106, DMG: 1899, SPD: 78, HANDLING: 1.172256716121198
9. One-handed curved sword, AGI: 46, STR: 94, DMG: 1810, SPD: 95, HANDLING: 1.231229353976106
10. Dagger, AGI: 61, STR: 79, DMG: 1666, SPD: 126, HANDLING: 1.4316508150800646
11. Mace, AGI: 21, STR: 119, DMG: 1542, SPD: 60, HANDLING: 1.025959431641072
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 2118
------------------LVL 48-----------------
1. CUSTOM (ex: dual wielding), AGI: 39, STR: 104, DMG: 2940, SPD: 72, HANDLING: 0.8555696019762472
2. Two-handed battle axe, AGI: 1, STR: 142, DMG: 2735, SPD: 39, HANDLING: 0.8461802103171876
3. Two-handed sword, AGI: 15, STR: 128, DMG: 2550, SPD: 52, HANDLING: 0.9180315462640517
4. Spear, AGI: 42, STR: 101, DMG: 2481, SPD: 84, HANDLING: 1.083587012700494
5. Katana, AGI: 47, STR: 96, DMG: 2079, SPD: 90, HANDLING: 1.086561211418609
6. Rapier, AGI: 66, STR: 77, DMG: 1970, SPD: 120, HANDLING: 1.2293718911903453
7. One-handed sword, AGI: 53, STR: 90, DMG: 1960, SPD: 96, HANDLING: 1.0777092418765157
8. One-handed axe, AGI: 33, STR: 110, DMG: 1938, SPD: 78, HANDLING: 1.1891676317328672
9. One-handed curved sword, AGI: 45, STR: 98, DMG: 1848, SPD: 95, HANDLING: 1.2497839927774468
10. Dagger, AGI: 80, STR: 63, DMG: 1822, SPD: 135, HANDLING: 1.202516753460278
11. Mace, AGI: 21, STR: 122, DMG: 1574, SPD: 60, HANDLING: 1.0330404493848302
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 2172
------------------LVL 49-----------------
1. CUSTOM (ex: dual wielding), AGI: 38, STR: 108, DMG: 3000, SPD: 72, HANDLING: 0.8699095712709017
2. Two-handed battle axe, AGI: 1, STR: 145, DMG: 2790, SPD: 39, HANDLING: 0.8505928042925568
3. One-handed axe, AGI: 82, STR: 64, DMG: 2636, SPD: 104, HANDLING: 0.7927276698665006
4. Two-handed sword, AGI: 14, STR: 132, DMG: 2600, SPD: 52, HANDLING: 0.9297135594854284
5. Spear, AGI: 41, STR: 105, DMG: 2529, SPD: 84, HANDLING: 1.1013344930572837
6. Katana, AGI: 47, STR: 99, DMG: 2121, SPD: 90, HANDLING: 1.0962271908520016
7. One-handed sword, AGI: 63, STR: 83, DMG: 2100, SPD: 102, HANDLING: 1.0007873735993944
8. Rapier, AGI: 65, STR: 81, DMG: 2010, SPD: 120, HANDLING: 1.25234865205927
9. One-handed curved sword, AGI: 45, STR: 101, DMG: 1885, SPD: 95, HANDLING: 1.2582875689747124
10. Dagger, AGI: 76, STR: 70, DMG: 1860, SPD: 135, HANDLING: 1.2675675500524957
11. Mace, AGI: 21, STR: 125, DMG: 1606, SPD: 60, HANDLING: 1.039943683634642
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 2285
------------------LVL 50-----------------
1. Two-handed sword, AGI: 56, STR: 93, DMG: 3975, SPD: 78, HANDLING: 0.7002374158085853
2. CUSTOM (ex: dual wielding), AGI: 38, STR: 111, DMG: 3060, SPD: 72, HANDLING: 0.8777631514003595
3. Two-handed battle axe, AGI: 1, STR: 148, DMG: 2845, SPD: 39, HANDLING: 0.8549022788535271
4. One-handed axe, AGI: 77, STR: 72, DMG: 2688, SPD: 104, HANDLING: 0.8469713505484971
5. Spear, AGI: 41, STR: 108, DMG: 2577, SPD: 84, HANDLING: 1.1106827481464212
6. Mace, AGI: 71, STR: 78, DMG: 2457, SPD: 90, HANDLING: 0.7195895759325271
7. Claws, AGI: 76, STR: 73, DMG: 2348, SPD: 152, HANDLING: 1.4902990061644876
8. One-handed curved sword, AGI: 79, STR: 70, DMG: 2307, SPD: 114, HANDLING: 0.9498936507618896
9. Katana, AGI: 46, STR: 103, DMG: 2163, SPD: 90, HANDLING: 1.1138732522636154
10. One-handed sword, AGI: 62, STR: 87, DMG: 2142, SPD: 102, HANDLING: 1.0204434117308836
11. Rapier, AGI: 64, STR: 85, DMG: 2050, SPD: 120, HANDLING: 1.2745408293859493
12. Dagger, AGI: 73, STR: 76, DMG: 1898, SPD: 135, HANDLING: 1.3180827869472407
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 2542
------------------LVL 51-----------------
1. Two-handed sword, AGI: 55, STR: 97, DMG: 4050, SPD: 78, HANDLING: 0.7141933719057416
2. CUSTOM (ex: dual wielding), AGI: 38, STR: 114, DMG: 3120, SPD: 72, HANDLING: 0.8854283279501958
3. Two-handed battle axe, AGI: 1, STR: 151, DMG: 2900, SPD: 39, HANDLING: 0.859112206999949
4. One-handed axe, AGI: 73, STR: 79, DMG: 2740, SPD: 104, HANDLING: 0.891709088010775
5. Spear, AGI: 40, STR: 112, DMG: 2625, SPD: 84, HANDLING: 1.1276195301512408
6. Mace, AGI: 69, STR: 83, DMG: 2505, SPD: 90, HANDLING: 0.7430855009473251
7. Claws, AGI: 84, STR: 68, DMG: 2457, SPD: 156, HANDLING: 1.3929227594717166
8. One-handed curved sword, AGI: 76, STR: 76, DMG: 2352, SPD: 114, HANDLING: 0.9902653665565601
9. Katana, AGI: 46, STR: 106, DMG: 2205, SPD: 90, HANDLING: 1.1228948009174495
10. One-handed sword, AGI: 61, STR: 91, DMG: 2184, SPD: 102, HANDLING: 1.0395324902814513
11. Rapier, AGI: 62, STR: 90, DMG: 2090, SPD: 120, HANDLING: 1.3066985792193058
12. Dagger, AGI: 71, STR: 81, DMG: 1935, SPD: 135, HANDLING: 1.3548300319946267
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 2597
------------------LVL 52-----------------
1. Two-handed sword, AGI: 54, STR: 101, DMG: 4125, SPD: 78, HANDLING: 0.7278266600411165
2. CUSTOM (ex: dual wielding), AGI: 37, STR: 118, DMG: 3180, SPD: 72, HANDLING: 0.8989044967759745
3. Two-handed battle axe, AGI: 1, STR: 154, DMG: 2955, SPD: 39, HANDLING: 0.8632259985478649
4. One-handed axe, AGI: 71, STR: 84, DMG: 2792, SPD: 104, HANDLING: 0.9193969430927932
5. Spear, AGI: 40, STR: 115, DMG: 2673, SPD: 84, HANDLING: 1.1363926170358987
6. Mace, AGI: 67, STR: 88, DMG: 2553, SPD: 90, HANDLING: 0.766012922671179
7. Claws, AGI: 80, STR: 75, DMG: 2504, SPD: 156, HANDLING: 1.4632014502318202
8. One-handed curved sword, AGI: 73, STR: 82, DMG: 2397, SPD: 114, HANDLING: 1.029411283208969
9. Katana, AGI: 45, STR: 110, DMG: 2247, SPD: 90, HANDLING: 1.1396964959893094
10. One-handed sword, AGI: 60, STR: 95, DMG: 2226, SPD: 102, HANDLING: 1.0580787906155364
11. Rapier, AGI: 62, STR: 93, DMG: 2130, SPD: 120, HANDLING: 1.3167268719241576
12. Dagger, AGI: 70, STR: 85, DMG: 1972, SPD: 135, HANDLING: 1.378523744726757
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 2646
------------------LVL 53-----------------
1. Two-handed sword, AGI: 53, STR: 105, DMG: 4200, SPD: 78, HANDLING: 0.7411483426721278
2. CUSTOM (ex: dual wielding), AGI: 37, STR: 121, DMG: 3240, SPD: 72, HANDLING: 0.9061424529535618
3. Two-handed battle axe, AGI: 1, STR: 157, DMG: 3010, SPD: 39, HANDLING: 0.8672469093403773
4. One-handed axe, AGI: 69, STR: 89, DMG: 2844, SPD: 104, HANDLING: 0.9463530336996733
5. Spear, AGI: 40, STR: 118, DMG: 2721, SPD: 84, HANDLING: 1.1449441778259564
6. Claws, AGI: 92, STR: 66, DMG: 2616, SPD: 160, HANDLING: 1.3160872307660099
7. Mace, AGI: 65, STR: 93, DMG: 2601, SPD: 90, HANDLING: 0.7883922275795405
8. One-handed curved sword, AGI: 71, STR: 87, DMG: 2442, SPD: 114, HANDLING: 1.0584915073068992
9. Rapier, AGI: 88, STR: 70, DMG: 2387, SPD: 132, HANDLING: 1.0569984402303023
10. Katana, AGI: 45, STR: 113, DMG: 2289, SPD: 90, HANDLING: 1.1481282859765634
11. One-handed sword, AGI: 59, STR: 99, DMG: 2268, SPD: 102, HANDLING: 1.076105138229724
12. Dagger, AGI: 68, STR: 90, DMG: 2010, SPD: 135, HANDLING: 1.4129936213464198
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 2719
------------------LVL 54-----------------
1. Two-handed sword, AGI: 52, STR: 109, DMG: 4275, SPD: 78, HANDLING: 0.7541689822779637
2. CUSTOM (ex: dual wielding), AGI: 36, STR: 125, DMG: 3300, SPD: 72, HANDLING: 0.9190667334163408
3. Two-handed battle axe, AGI: 1, STR: 160, DMG: 3065, SPD: 39, HANDLING: 0.8711780498415947
4. One-handed axe, AGI: 67, STR: 94, DMG: 2896, SPD: 104, HANDLING: 0.9726059912704804
5. Spear, AGI: 39, STR: 122, DMG: 2769, SPD: 84, HANDLING: 1.1608202925314317
6. Claws, AGI: 85, STR: 76, DMG: 2664, SPD: 160, HANDLING: 1.4248213002654844
7. Mace, AGI: 63, STR: 98, DMG: 2649, SPD: 90, HANDLING: 0.8102428389187966
8. One-handed curved sword, AGI: 70, STR: 91, DMG: 2487, SPD: 114, HANDLING: 1.0779509638891989
9. Rapier, AGI: 83, STR: 78, DMG: 2431, SPD: 132, HANDLING: 1.121682450448705
10. One-handed sword, AGI: 69, STR: 92, DMG: 2420, SPD: 108, HANDLING: 1.0045222515722163
11. Katana, AGI: 44, STR: 117, DMG: 2331, SPD: 90, HANDLING: 1.164149445704577
12. Dagger, AGI: 87, STR: 74, DMG: 2184, SPD: 144, HANDLING: 1.2071571131875092
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 2789
------------------LVL 55-----------------
1. Two-handed sword, AGI: 51, STR: 113, DMG: 4350, SPD: 78, HANDLING: 0.7668986692902312
2. CUSTOM (ex: dual wielding), AGI: 36, STR: 128, DMG: 3360, SPD: 72, HANDLING: 0.9259082349051437
3. Two-handed battle axe, AGI: 1, STR: 163, DMG: 3120, SPD: 39, HANDLING: 0.8750223931613295
4. One-handed axe, AGI: 66, STR: 98, DMG: 2948, SPD: 104, HANDLING: 0.9905632554575582
5. Spear, AGI: 39, STR: 125, DMG: 2817, SPD: 84, HANDLING: 1.1688604274656447
6. Claws, AGI: 82, STR: 82, DMG: 2712, SPD: 160, HANDLING: 1.4779319686128551
7. Mace, AGI: 62, STR: 102, DMG: 2697, SPD: 90, HANDLING: 0.825423396835185
8. One-handed curved sword, AGI: 68, STR: 96, DMG: 2532, SPD: 114, HANDLING: 1.105481891113599
9. Rapier, AGI: 80, STR: 84, DMG: 2475, SPD: 132, HANDLING: 1.1642580171959396
10. One-handed sword, AGI: 67, STR: 97, DMG: 2464, SPD: 108, HANDLING: 1.0307777969989758
11. Katana, AGI: 44, STR: 120, DMG: 2373, SPD: 90, HANDLING: 1.1720403029104127
12. Dagger, AGI: 83, STR: 81, DMG: 2224, SPD: 144, HANDLING: 1.2657133297296272
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 2839
------------------LVL 56-----------------
1. Two-handed sword, AGI: 51, STR: 116, DMG: 4425, SPD: 78, HANDLING: 0.7741165310700966
2. CUSTOM (ex: dual wielding), AGI: 36, STR: 131, DMG: 3420, SPD: 72, HANDLING: 0.9325948983162566
3. Two-handed battle axe, AGI: 1, STR: 166, DMG: 3175, SPD: 39, HANDLING: 0.878782782554059
4. One-handed axe, AGI: 65, STR: 102, DMG: 3000, SPD: 104, HANDLING: 1.00806402289511
5. Spear, AGI: 39, STR: 128, DMG: 2865, SPD: 84, HANDLING: 1.176704952719726
6. Claws, AGI: 90, STR: 77, DMG: 2829, SPD: 164, HANDLING: 1.3890545786435233
7. Mace, AGI: 61, STR: 106, DMG: 2745, SPD: 90, HANDLING: 0.8402536027400815
8. One-handed curved sword, AGI: 67, STR: 100, DMG: 2577, SPD: 114, HANDLING: 1.123711789162141
9. Rapier, AGI: 78, STR: 89, DMG: 2519, SPD: 132, HANDLING: 1.1956335852927675
10. One-handed sword, AGI: 66, STR: 101, DMG: 2508, SPD: 108, HANDLING: 1.0484439264032268
11. Katana, AGI: 43, STR: 124, DMG: 2415, SPD: 90, HANDLING: 1.1873383529937218
12. Dagger, AGI: 81, STR: 86, DMG: 2264, SPD: 144, HANDLING: 1.300335294318351
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 2895
------------------LVL 57-----------------
1. Two-handed sword, AGI: 50, STR: 120, DMG: 4500, SPD: 78, HANDLING: 0.786349986611269
2. Spear, AGI: 89, STR: 81, DMG: 3884, SPD: 112, HANDLING: 0.821060025006567
3. CUSTOM (ex: dual wielding), AGI: 35, STR: 135, DMG: 3480, SPD: 72, HANDLING: 0.9447893425295105
4. Two-handed battle axe, AGI: 1, STR: 169, DMG: 3230, SPD: 39, HANDLING: 0.8824619384319006
5. One-handed axe, AGI: 63, STR: 107, DMG: 3052, SPD: 104, HANDLING: 1.0325539277295903
6. Claws, AGI: 86, STR: 84, DMG: 2878, SPD: 164, HANDLING: 1.4535162645573
7. Mace, AGI: 60, STR: 110, DMG: 2793, SPD: 90, HANDLING: 0.8547454469296761
8. One-handed curved sword, AGI: 66, STR: 104, DMG: 2622, SPD: 114, HANDLING: 1.1414272272356194
9. Rapier, AGI: 76, STR: 94, DMG: 2563, SPD: 132, HANDLING: 1.226052152159906
10. One-handed sword, AGI: 65, STR: 105, DMG: 2552, SPD: 108, HANDLING: 1.0656410751309828
11. Katana, AGI: 43, STR: 127, DMG: 2457, SPD: 90, HANDLING: 1.1947320100893977
12. Dagger, AGI: 79, STR: 91, DMG: 2304, SPD: 144, HANDLING: 1.3338548504023007
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 3026
------------------LVL 58-----------------
1. Two-handed sword, AGI: 49, STR: 124, DMG: 4575, SPD: 78, HANDLING: 0.7983189450504898
2. Spear, AGI: 85, STR: 88, DMG: 3948, SPD: 112, HANDLING: 0.8615675060951091
3. CUSTOM (ex: dual wielding), AGI: 35, STR: 138, DMG: 3540, SPD: 72, HANDLING: 0.9511190896861139
4. Two-handed battle axe, AGI: 1, STR: 172, DMG: 3285, SPD: 39, HANDLING: 0.8860624649279495
5. One-handed axe, AGI: 62, STR: 111, DMG: 3104, SPD: 104, HANDLING: 1.0491003357502224
6. Claws, AGI: 97, STR: 76, DMG: 2999, SPD: 168, HANDLING: 1.330995082129788
7. Mace, AGI: 59, STR: 114, DMG: 2841, SPD: 90, HANDLING: 0.8689103787370843
8. One-handed curved sword, AGI: 65, STR: 108, DMG: 2667, SPD: 114, HANDLING: 1.1586496799296626
9. Rapier, AGI: 75, STR: 98, DMG: 2607, SPD: 132, HANDLING: 1.245972441607852
10. One-handed sword, AGI: 64, STR: 109, DMG: 2596, SPD: 108, HANDLING: 1.082387673511313
11. Katana, AGI: 43, STR: 130, DMG: 2499, SPD: 90, HANDLING: 1.201939382411616
12. Dagger, AGI: 77, STR: 96, DMG: 2344, SPD: 144, HANDLING: 1.366323826031867
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 3084
------------------LVL 59-----------------
